what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807296732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807307984
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339807310281
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807311620
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1339807311733
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1339807312113
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1339807312140
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1339807312235
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1339807313652
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1339807313657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807314457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807315833
started,bundle,org.eclipse.birt.report.engine.emitter.html,3.7.2.v20120213,"org.eclipse.birt.report.engine.emitter.html",1339807316496
started,bundle,org.eclipse.birt.report.engine.script.javascript,3.7.2.v20120213,"org.eclipse.birt.report.engine.script.javascript",1339807316686
started,bundle,org.eclipse.birt.core.script.function,3.7.2.v20120213,"org.eclipse.birt.core.script.function",1339807316783
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807322892
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807322959
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807324939
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807327317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807330561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807359921
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1339807365607
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1339807365618
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1339807365630
opened,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807365633
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1339807365639
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1339807365707
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1339807365714
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807365771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807367013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807368450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807368482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807370225
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339807375411
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807375615
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1339807376561
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807378056
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1339807379998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807380272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807383049
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339807386162
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807387440
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1339807388474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807389725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807393089
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339807394270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807394595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339807396657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339809482105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339811442239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339813097003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339813702073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339813704010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814499315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814500012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814608521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814608711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814613656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814634462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814635620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814637331
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814637536
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339814637960
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339814637973
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1339814638152
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1339814638153
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1339814638154
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1339814638155
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1339814638155
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1339814638156
